Community Area Name,Arrest,ID,rate
Lincoln Park,1803.0,15201,0.11861061772251826
Forest Glen,211.0,1698,0.12426383981154299
Hyde Park,705.0,5632,0.12517755681818182
Beverly,511.0,3598,0.14202334630350194
Edison Park,138.0,967,0.14270941054808686
North Center,857.0,5748,0.1490953375086987
Mount Greenwood,344.0,2238,0.15370866845397677
Norwood Park,712.0,4506,0.158011540168664
West Town,4470.0,28206,0.15847691980429696
Irving Park,1878.0,11583,0.16213416213416212
Montclare,368.0,2210,0.1665158371040724
Kenwood,948.0,5501,0.1723323032175968
Dunning,1054.0,6073,0.17355507986168286
North Park,572.0,3270,0.1749235474006116
Calumet Heights,1025.0,5749,0.1782918768481475
Clearing,687.0,3793,0.18112312153967836
Logan Square,3601.0,19869,0.18123710302481252
Avondale,1708.0,9313,0.1833995490175024
Bridgeport,1199.0,6537,0.18341746978736423
Ashburn,1701.0,9232,0.18425043327556326
Oakland,445.0,2394,0.1858813700918964
West Elsdon,768.0,4115,0.18663426488456866
West Ridge,2410.0,12600,0.19126984126984126
Lake View,4305.0,22271,0.19330070495262897
Lincoln Square,1408.0,7234,0.1946364390378767
Jefferson Park,874.0,4453,0.1962721760610824
Archer Heights,787.0,3947,0.1993919432480365
Avalon Park,1178.0,5649,0.20853248362542043
Albany Park,1931.0,9159,0.21083087673326784
Hegewisch,501.0,2313,0.21660181582360571
Near South Side,1348.0,6206,0.21720915243312924
Burnside,354.0,1574,0.22490470139771285
Portage Park,2951.0,13065,0.22587064676616916
Edgewater,2128.0,9261,0.22978080120937264
Armour Square,1045.0,4519,0.2312458508519584
OHare,1550.0,6686,0.23182769967095423
Near West Side,6867.0,29452,0.23315903843542035
Morgan Park,1998.0,8224,0.24294747081712062
South Shore,8673.0,35627,0.24343896483004462
Brighton Park,2549.0,10269,0.2482228065050151
Lower West Side,2523.0,10163,0.2482534684640362
McKinley Park,1038.0,4163,0.24933941868844584
Near North Side,8535.0,34197,0.24958329678041932
Riverdale,1254.0,5003,0.2506496102338597
Garfield Ridge,1851.0,7348,0.2519052803483941
East Side,1317.0,5218,0.2523955538520506
Belmont Cragin,4894.0,19211,0.2547498828796002
South Deering,1940.0,7607,0.255028263441567
Washington Heights,3205.0,12513,0.2561336210341245
West Lawn,1994.0,7735,0.2577892695539754
Hermosa,1707.0,6572,0.25973828362751067
Douglas,2417.0,9252,0.26124081279723305
Gage Park,2633.0,9746,0.2701621177919146
Grand Boulevard,3514.0,12982,0.2706824834386073
South Chicago,5548.0,19838,0.2796652888396008
Loop,7379.0,26110,0.2826120260436614
South Lawndale,4974.0,17468,0.2847492557820014
Rogers Park,4179.0,14671,0.28484765864630907
Washington Park,3135.0,10972,0.28572730586948597
Auburn Gresham,8514.0,29476,0.28884516216582984
Pullman,1202.0,4139,0.29040831118627686
West Pullman,4925.0,16919,0.2910928541875997
Chatham,6859.0,23414,0.29294439224395663
Greater Grand Crossing,7865.0,26228,0.2998703675461339
Englewood,8445.0,27728,0.304565781881131
Roseland,8459.0,27704,0.30533496967946866
Chicago Lawn,7877.0,25303,0.31130695964905347
Woodlawn,5059.0,15991,0.31636545556875745
West Englewood,9609.0,29928,0.32107056936647954
Uptown,4703.0,14559,0.3230304279140051
New City,6737.0,20165,0.33409372675427723
Fuller Park,1281.0,3606,0.35524126455906824
North Lawndale,12772.0,32536,0.39254979100073767
Austin,27484.0,68356,0.40207150798759433
East Garfield Park,8472.0,20596,0.4113420081569237
Humboldt Park,14396.0,34412,0.4183424386841799
West Garfield Park,11070.0,22270,0.4970812752581949
