Location Description,Arrest,ID,rate
ABANDONED BUILDING,1523.0,2912,0.5230082417582418
AIRCRAFT,24.0,222,0.10810810810810811
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,53.0,287,0.18466898954703834
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,26.0,204,0.12745098039215685
AIRPORT EXTERIOR - NON-SECURE AREA,64.0,224,0.2857142857142857
AIRPORT EXTERIOR - SECURE AREA,17.0,99,0.1717171717171717
AIRPORT PARKING LOT,31.0,235,0.13191489361702127
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,337.0,556,0.6061151079136691
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,23.0,223,0.1031390134529148
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1.0,26,0.038461538461538464
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,81.0,203,0.39901477832512317
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,201.0,2026,0.09921026653504442
AIRPORT TRANSPORTATION SYSTEM (ATS),15.0,38,0.39473684210526316
AIRPORT VENDING ESTABLISHMENT,62.0,411,0.15085158150851583
AIRPORT/AIRCRAFT,170.0,285,0.5964912280701754
ALLEY,11821.0,23087,0.5120197513752328
ANIMAL HOSPITAL,17.0,194,0.08762886597938144
APARTMENT,23156.0,130471,0.17748005303860628
APPLIANCE STORE,60.0,213,0.28169014084507044
ATHLETIC CLUB,89.0,1919,0.04637832204273059
ATM (AUTOMATIC TELLER MACHINE),46.0,1765,0.026062322946175637
BANK,505.0,3739,0.13506285102968707
BAR OR TAVERN,1260.0,6795,0.18543046357615894
BARBERSHOP,147.0,925,0.1589189189189189
BOAT/WATERCRAFT,22.0,123,0.17886178861788618
BOWLING ALLEY,17.0,84,0.20238095238095238
BRIDGE,33.0,82,0.4024390243902439
CAR WASH,62.0,386,0.16062176165803108
CEMETARY,10.0,64,0.15625
CHA APARTMENT,749.0,2916,0.25685871056241427
CHA HALLWAY/STAIRWELL/ELEVATOR,340.0,667,0.5097451274362819
CHA PARKING LOT/GROUNDS,1924.0,3176,0.6057934508816121
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,291.0,2268,0.1283068783068783
CLEANING STORE,57.0,387,0.14728682170542637
COIN OPERATED MACHINE,26.0,88,0.29545454545454547
COLLEGE/UNIVERSITY GROUNDS,261.0,818,0.31907090464547677
COLLEGE/UNIVERSITY RESIDENCE HALL,128.0,285,0.44912280701754387
COMMERCIAL / BUSINESS OFFICE,643.0,5319,0.1208873848467757
CONSTRUCTION SITE,161.0,1146,0.14048865619546247
CONVENIENCE STORE,1794.0,4296,0.4175977653631285
CREDIT UNION,8.0,56,0.14285714285714285
CTA BUS,844.0,4762,0.17723645527089457
CTA BUS STOP,788.0,2715,0.29023941068139963
CTA GARAGE / OTHER PROPERTY,1479.0,2735,0.5407678244972578
CTA PLATFORM,3887.0,6181,0.6288626435851804
CTA STATION,434.0,855,0.5076023391812865
CTA TRACKS - RIGHT OF WAY,10.0,29,0.3448275862068966
CTA TRAIN,800.0,5193,0.154053533602927
CURRENCY EXCHANGE,424.0,1620,0.2617283950617284
DAY CARE CENTER,47.0,472,0.09957627118644068
DELIVERY TRUCK,15.0,66,0.22727272727272727
DEPARTMENT STORE,8513.0,14375,0.5922086956521739
DRIVEWAY - RESIDENTIAL,232.0,2358,0.09838846480067855
DRUG STORE,1811.0,3681,0.4919858734039663
FACTORY/MANUFACTURING BUILDING,99.0,654,0.15137614678899083
FEDERAL BUILDING,45.0,106,0.42452830188679247
FIRE STATION,14.0,121,0.11570247933884298
FOREST PRESERVE,12.0,38,0.3157894736842105
GAS STATION,4528.0,10599,0.4272101141617134
GOVERNMENT BUILDING/PROPERTY,927.0,2232,0.4153225806451613
GROCERY FOOD STORE,6251.0,11321,0.5521597032064305
HIGHWAY/EXPRESSWAY,92.0,149,0.6174496644295302
HOSPITAL BUILDING/GROUNDS,793.0,3272,0.242359413202934
HOTEL/MOTEL,1316.0,4452,0.29559748427672955
JAIL / LOCK-UP FACILITY,146.0,242,0.6033057851239669
LAKEFRONT/WATERFRONT/RIVERBANK,50.0,216,0.23148148148148148
LIBRARY,372.0,1011,0.36795252225519287
MEDICAL/DENTAL OFFICE,125.0,1069,0.11693171188026193
MOVIE HOUSE/THEATER,51.0,292,0.17465753424657535
NEWSSTAND,3.0,24,0.125
NURSING HOME/RETIREMENT HOME,140.0,1931,0.07250129466597618
OTHER,6089.0,38114,0.15975756939707195
OTHER COMMERCIAL TRANSPORTATION,190.0,490,0.3877551020408163
OTHER RAILROAD PROP / TRAIN DEPOT,491.0,847,0.5796930342384888
PARK PROPERTY,3433.0,8690,0.3950517836593786
PARKING LOT/GARAGE(NON.RESID.),7521.0,29496,0.2549837266069976
PAWN SHOP,34.0,147,0.23129251700680273
POLICE FACILITY/VEH PARKING LOT,2081.0,2937,0.7085461355124276
POOL ROOM,25.0,243,0.102880658436214
RESIDENCE,21604.0,162622,0.13284795415134484
RESIDENCE PORCH/HALLWAY,5459.0,18132,0.3010699316126186
RESIDENCE-GARAGE,1053.0,17771,0.0592538405267008
RESIDENTIAL YARD (FRONT/BACK),5434.0,21866,0.24851367419738407
RESTAURANT,3780.0,17168,0.2201770736253495
SAVINGS AND LOAN,6.0,38,0.15789473684210525
"SCHOOL, PRIVATE, BUILDING",490.0,2196,0.22313296903460839
"SCHOOL, PRIVATE, GROUNDS",226.0,748,0.30213903743315507
"SCHOOL, PUBLIC, BUILDING",6580.0,20829,0.31590570838734455
"SCHOOL, PUBLIC, GROUNDS",1387.0,4813,0.28817785165177645
SIDEWALK,61901.0,120888,0.5120524783270465
SMALL RETAIL STORE,5988.0,19818,0.30214956100514684
SPORTS ARENA/STADIUM,270.0,1002,0.2694610778443114
STREET,64233.0,235302,0.272981105132978
TAVERN/LIQUOR STORE,732.0,2009,0.36436037829766055
TAXICAB,297.0,1455,0.20412371134020618
VACANT LOT/LAND,1709.0,5031,0.33969389783343273
VEHICLE - DELIVERY TRUCK,1.0,7,0.14285714285714285
VEHICLE - OTHER RIDE SERVICE,2.0,18,0.1111111111111111
VEHICLE NON-COMMERCIAL,6454.0,17359,0.3717956103462181
VEHICLE-COMMERCIAL,165.0,911,0.18111964873765093
WAREHOUSE,190.0,1103,0.17225747960108795
